superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label
0,-77,-76,-80,-100,-66,-77,-54,-62,-64,-73,2
1,-77,-76,-80,-87,-66,-76,-54,-62,-64,-71,2
2,-78,-75,-80,-100,-66,-76,-53,-62,-64,-72,2
4,-77,-75,-82,-88,-66,-74,-54,-62,-64,-72,2
5,-77,-75,-81,-100,-67,-74,-54,-63,-63,-71,2
6,-78,-76,-81,-100,-67,-74,-53,-62,-64,-73,2
7,-77,-76,-81,-100,-68,-75,-54,-62,-64,-72,2
8,-77,-76,-82,-90,-67,-74,-54,-62,-64,-72,2
9,-77,-77,-80,-87,-67,-73,-53,-62,-64,-72,2
10,-76,-76,-80,-100,-67,-73,-53,-62,-64,-73,2
11,-77,-76,-80,-100,-68,-74,-54,-62,-64,-72,2
12,-77,-76,-81,-100,-68,-75,-53,-62,-64,-73,2
13,-77,-76,-80,-89,-66,-75,-54,-62,-64,-72,2
14,-78,-76,-80,-100,-68,-76,-54,-62,-63,-72,2
15,-78,-76,-81,-88,-68,-75,-54,-62,-63,-72,2
16,-78,-76,-81,-100,-66,-75,-53,-62,-64,-72,2
17,-78,-76,-81,-100,-68,-74,-53,-62,-64,-73,2
18,-77,-75,-81,-100,-67,-74,-54,-62,-64,-72,2
19,-78,-77,-80,-100,-67,-74,-54,-62,-63,-72,2
20,-78,-77,-79,-100,-66,-73,-53,-62,-64,-72,2
21,-79,-77,-80,-100,-66,-73,-54,-62,-63,-72,2
22,-100,-100,-100,-100,-100,-100,-54,-63,-63,-72,2
23,-79,-77,-80,-100,-67,-74,-53,-62,-64,-72,2
24,-78,-76,-79,-100,-67,-74,-54,-62,-64,-72,2
25,-77,-76,-81,-100,-67,-74,-54,-62,-64,-72,2
26,-77,-76,-79,-100,-68,-76,-54,-62,-64,-72,2
27,-77,-77,-79,-100,-68,-74,-53,-62,-63,-73,2
28,-77,-76,-79,-100,-67,-76,-54,-62,-64,-72,2
29,-78,-76,-80,-100,-68,-74,-54,-61,-63,-72,2
30,-78,-76,-79,-100,-68,-75,-54,-62,-64,-72,2
31,-78,-75,-79,-100,-68,-74,-53,-62,-64,-73,2
32,-78,-76,-79,-100,-67,-75,-54,-62,-63,-71,2
33,-77,-76,-79,-100,-67,-75,-53,-62,-63,-72,2
34,-77,-77,-79,-100,-67,-75,-54,-62,-63,-73,2
35,-78,-76,-80,-100,-67,-75,-54,-62,-64,-71,2
36,-78,-76,-79,-100,-67,-76,-54,-62,-63,-72,2
37,-78,-76,-79,-100,-67,-76,-53,-62,-63,-72,2
38,-78,-76,-80,-100,-67,-76,-54,-62,-63,-72,2
39,-79,-77,-80,-86,-66,-73,-54,-62,-63,-72,2
40,-79,-77,-81,-100,-67,-75,-54,-62,-63,-72,2
41,-79,-77,-79,-100,-67,-76,-53,-62,-64,-71,2
42,-79,-78,-80,-100,-66,-75,-54,-62,-63,-71,2
43,-79,-77,-79,-87,-67,-75,-53,-62,-63,-71,2
44,-78,-78,-79,-100,-67,-74,-53,-62,-63,-72,2
45,-77,-77,-79,-86,-66,-75,-54,-62,-64,-72,2
46,-76,-77,-79,-100,-66,-73,-54,-62,-63,-72,2
