superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label,raw_photosensor_door,raw_photosensor_endpos
0,-100,-78,-100,-85,-80,-78,-59,-61,-67,-71,2,0,0
1,-100,-78,-100,-85,-79,-78,-57,-61,-67,-73,2,0,0
2,-88,-78,-100,-100,-83,-78,-58,-61,-68,-71,2,0,0
4,-100,-100,-100,-100,-100,-100,-57,-61,-67,-73,2,0,0
5,-100,-78,-100,-86,-82,-78,-58,-61,-68,-71,2,0,0
6,-100,-78,-100,-85,-80,-78,-60,-61,-67,-70,2,0,0
7,-100,-78,-100,-85,-79,-77,-57,-61,-67,-73,2,0,0
8,-100,-78,-100,-100,-81,-77,-57,-61,-68,-72,2,0,0
9,-100,-78,-100,-84,-80,-78,-58,-61,-68,-71,2,0,0
10,-100,-78,-90,-86,-79,-78,-58,-61,-67,-73,2,0,0
11,-100,-78,-100,-86,-81,-78,-57,-61,-68,-72,2,0,0
12,-87,-78,-100,-85,-80,-79,-58,-61,-67,-71,2,0,0
13,-100,-78,-100,-85,-81,-79,-57,-61,-67,-74,2,0,0
14,-100,-77,-100,-87,-83,-78,-58,-61,-68,-72,2,0,0
15,-87,-78,-100,-85,-81,-79,-58,-61,-67,-71,2,0,0
16,-88,-78,-100,-100,-80,-78,-57,-61,-67,-74,2,0,0
17,-86,-100,-100,-84,-84,-79,-58,-61,-68,-71,2,0,0
18,-86,-78,-100,-84,-81,-78,-58,-61,-67,-71,2,0,0
19,-87,-78,-100,-100,-79,-77,-58,-61,-67,-75,2,0,0
20,-87,-78,-100,-85,-86,-79,-58,-61,-68,-72,2,0,0
21,-87,-78,-100,-85,-82,-78,-58,-60,-67,-72,2,0,0
22,-88,-78,-100,-85,-81,-77,-59,-61,-67,-75,2,0,0
23,-87,-78,-100,-85,-86,-78,-57,-61,-68,-72,2,0,0
24,-88,-78,-100,-85,-81,-78,-60,-60,-67,-72,2,0,0
25,-100,-78,-100,-84,-81,-77,-58,-61,-68,-75,2,0,0
26,-87,-78,-88,-84,-86,-79,-58,-61,-68,-72,2,0,0
27,-87,-78,-100,-86,-82,-78,-58,-60,-67,-72,2,0,0
28,-88,-78,-100,-100,-82,-77,-57,-61,-68,-75,2,0,0
29,-88,-79,-100,-85,-85,-78,-58,-61,-69,-73,2,0,0
30,-87,-79,-100,-85,-82,-77,-58,-60,-68,-72,2,0,0
31,-87,-78,-100,-85,-83,-77,-58,-61,-68,-74,2,0,0
32,-87,-78,-100,-100,-85,-78,-58,-61,-68,-73,2,0,0
33,-100,-78,-100,-85,-82,-78,-57,-60,-68,-73,2,0,0
34,-100,-79,-100,-85,-83,-78,-59,-61,-68,-74,2,0,0
35,-100,-79,-100,-85,-84,-78,-57,-61,-68,-72,2,0,0
36,-87,-78,-100,-85,-83,-78,-57,-60,-67,-72,2,0,0
37,-86,-79,-100,-85,-83,-79,-60,-61,-68,-73,2,0,0
38,-89,-79,-100,-100,-84,-79,-60,-61,-68,-73,2,0,0
39,-100,-79,-100,-86,-82,-78,-57,-60,-67,-72,2,0,0
40,-88,-79,-100,-85,-81,-79,-61,-61,-67,-73,2,0,0
41,-88,-79,-100,-85,-83,-79,-60,-61,-68,-72,2,0,0
42,-87,-79,-100,-85,-81,-78,-58,-61,-67,-73,2,0,0
43,-87,-78,-100,-84,-81,-78,-60,-61,-68,-73,2,0,0
44,-88,-79,-100,-84,-81,-78,-59,-61,-68,-73,2,0,0
45,-85,-79,-100,-85,-81,-77,-58,-60,-67,-73,2,0,0
46,-100,-78,-100,-85,-81,-78,-61,-61,-69,-73,2,0,0
47,-100,-78,-87,-85,-80,-78,-59,-61,-68,-73,2,0,0
48,-86,-78,-100,-85,-82,-77,-58,-60,-67,-73,2,0,0
49,-86,-78,-100,-84,-82,-78,-61,-61,-69,-73,2,0,0
50,-87,-80,-100,-85,-81,-78,-59,-61,-68,-72,2,0,0
51,-100,-100,-100,-100,-100,-100,-58,-60,-68,-73,2,0,0
52,-87,-79,-100,-85,-82,-77,-60,-61,-69,-73,2,0,0
53,-87,-79,-100,-100,-81,-78,-58,-60,-68,-73,2,0,0
54,-88,-78,-100,-85,-84,-77,-59,-61,-68,-73,2,0,0
55,-87,-79,-100,-85,-82,-78,-59,-61,-68,-73,2,0,0
56,-100,-79,-100,-86,-82,-78,-58,-60,-68,-72,2,0,0
57,-87,-79,-100,-85,-85,-78,-58,-61,-67,-73,2,0,0
58,-86,-79,-100,-85,-83,-79,-59,-61,-68,-72,2,0,0
59,-87,-79,-100,-85,-80,-78,-58,-60,-68,-72,2,0,0
60,-100,-79,-100,-85,-84,-79,-58,-61,-67,-73,2,0,0
61,-88,-79,-100,-86,-83,-79,-58,-61,-68,-72,2,0,0
62,-86,-79,-100,-85,-79,-79,-59,-61,-67,-72,2,0,0
63,-90,-79,-100,-85,-83,-79,-58,-61,-67,-73,2,0,0
64,-86,-78,-100,-85,-83,-79,-57,-61,-68,-72,2,0,0
65,-86,-79,-100,-85,-81,-77,-59,-60,-68,-71,2,0,0
66,-100,-79,-100,-84,-82,-77,-57,-61,-68,-73,2,0,0
67,-100,-79,-88,-85,-84,-78,-58,-61,-68,-72,2,0,0
68,-100,-79,-100,-85,-81,-76,-58,-60,-68,-71,2,0,0
69,-85,-80,-100,-83,-81,-77,-57,-61,-68,-73,2,0,0
70,-87,-80,-100,-83,-85,-78,-58,-61,-68,-72,2,0,0
71,-100,-79,-100,-84,-82,-76,-57,-60,-67,-73,2,0,0
