superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label,raw_photosensor_door
0,-68,-64,-84,-76,-64,-71,-65,-57,-60,-70,1,0
1,-68,-64,-84,-76,-64,-71,-65,-57,-60,-70,1,0
2,-68,-64,-84,-76,-64,-71,-64,-57,-60,-70,1,0
4,-68,-64,-83,-76,-64,-71,-100,-57,-60,-70,1,0
5,-68,-64,-83,-76,-64,-72,-65,-57,-60,-70,1,0
6,-68,-64,-83,-77,-64,-71,-65,-57,-60,-70,1,0
7,-68,-64,-84,-76,-64,-72,-65,-57,-60,-70,1,0
8,-68,-64,-84,-76,-64,-71,-65,-57,-60,-70,1,0
9,-68,-64,-83,-76,-64,-71,-65,-57,-60,-70,1,0
10,-68,-64,-84,-76,-64,-72,-65,-57,-60,-70,1,0
11,-68,-64,-84,-76,-64,-72,-65,-57,-60,-70,1,0
12,-68,-64,-100,-76,-64,-72,-65,-57,-61,-69,1,0
13,-68,-64,-83,-76,-64,-72,-65,-57,-60,-70,1,0
14,-68,-64,-83,-76,-64,-72,-65,-57,-60,-70,1,0
15,-68,-64,-83,-76,-64,-72,-65,-57,-60,-70,1,0
16,-68,-64,-84,-76,-64,-72,-66,-57,-60,-70,1,0
17,-68,-64,-84,-76,-64,-72,-66,-57,-60,-70,1,0
18,-68,-100,-100,-100,-64,-100,-65,-57,-60,-70,1,0
19,-68,-64,-84,-77,-64,-72,-66,-57,-60,-70,1,0
20,-68,-64,-83,-77,-63,-73,-66,-57,-60,-71,1,0
21,-68,-64,-84,-77,-62,-73,-65,-57,-60,-72,1,0
22,-67,-64,-83,-77,-62,-100,-66,-57,-60,-73,1,0
23,-68,-64,-83,-77,-62,-73,-65,-57,-60,-73,1,0
24,-68,-63,-83,-78,-62,-73,-65,-56,-59,-73,1,0
25,-68,-64,-82,-77,-62,-71,-66,-57,-59,-73,1,0
26,-70,-63,-85,-77,-61,-69,-65,-56,-58,-80,1,0
27,-71,-67,-83,-77,-68,-74,-64,-56,-57,-75,1,0
28,-71,-66,-100,-79,-65,-69,-68,-56,-57,-75,1,0
29,-72,-66,-84,-75,-70,-78,-64,-57,-57,-72,1,0
30,-78,-68,-87,-77,-62,-82,-64,-55,-57,-72,1,0
31,-72,-67,-100,-74,-64,-70,-62,-58,-60,-70,1,0
32,-72,-67,-81,-77,-64,-67,-64,-57,-57,-65,1,0
33,-68,-65,-82,-79,-67,-75,-64,-56,-58,-68,1,0
34,-67,-66,-88,-79,-67,-82,-63,-56,-58,-71,1,0
35,-67,-67,-100,-80,-66,-84,-63,-56,-59,-71,1,0
36,-67,-68,-100,-79,-67,-84,-63,-56,-60,-71,1,0
37,-67,-69,-100,-79,-67,-86,-64,-56,-59,-73,1,0
38,-67,-71,-84,-79,-68,-89,-65,-57,-60,-72,1,0
39,-67,-72,-83,-78,-69,-100,-65,-56,-60,-71,1,0
40,-67,-71,-82,-79,-69,-100,-65,-56,-60,-72,1,0
41,-67,-72,-82,-79,-69,-100,-65,-57,-60,-72,1,0
42,-67,-72,-82,-79,-70,-84,-66,-56,-60,-72,1,0
43,-67,-71,-82,-79,-70,-84,-65,-56,-60,-71,1,0
44,-66,-71,-82,-78,-70,-82,-65,-56,-60,-70,1,0
45,-66,-71,-82,-79,-71,-82,-65,-56,-60,-71,1,0
46,-67,-71,-82,-78,-71,-81,-65,-56,-60,-72,1,0
47,-67,-71,-82,-79,-72,-81,-65,-56,-60,-72,1,0
48,-67,-71,-83,-79,-72,-80,-65,-56,-60,-72,1,0
49,-67,-71,-82,-79,-72,-80,-65,-56,-59,-71,1,0
50,-67,-71,-82,-79,-72,-80,-65,-56,-59,-72,1,0
51,-68,-70,-83,-79,-72,-79,-65,-56,-60,-71,1,0
52,-67,-69,-100,-80,-70,-76,-64,-56,-58,-71,1,0
53,-70,-65,-88,-79,-67,-75,-62,-56,-58,-72,1,0
54,-71,-67,-82,-77,-64,-69,-66,-57,-58,-68,1,0
55,-75,-69,-84,-75,-64,-73,-62,-59,-62,-69,1,0
56,-77,-69,-100,-78,-64,-100,-64,-56,-60,-70,1,0
57,-71,-64,-83,-78,-62,-100,-63,-57,-59,-71,1,0
58,-69,-64,-100,-76,-64,-77,-68,-56,-57,-72,1,0
59,-66,-66,-85,-75,-76,-71,-66,-57,-61,-82,1,0
60,-69,-66,-81,-75,-74,-69,-69,-57,-64,-70,1,0
61,-75,-69,-84,-78,-72,-69,-75,-60,-68,-71,1,0
62,-75,-76,-80,-79,-68,-70,-68,-64,-61,-68,1,0
63,-76,-70,-82,-80,-69,-70,-65,-60,-62,-72,1,0
64,-100,-70,-81,-80,-72,-70,-65,-62,-67,-88,1,0
65,-72,-70,-85,-82,-76,-71,-64,-62,-66,-75,1,0
66,-75,-72,-85,-82,-75,-70,-69,-62,-68,-77,1,0
67,-79,-67,-83,-83,-69,-70,-77,-61,-61,-70,1,0
68,-77,-64,-82,-79,-64,-68,-68,-58,-61,-68,1,0
69,-70,-67,-81,-78,-63,-71,-67,-59,-59,-75,1,0
70,-69,-65,-80,-77,-66,-76,-66,-58,-58,-72,1,0
71,-70,-67,-83,-77,-64,-73,-64,-57,-59,-75,1,0
72,-69,-66,-100,-76,-66,-72,-62,-57,-58,-64,1,0
73,-70,-66,-86,-76,-67,-74,-62,-56,-58,-63,1,0
74,-74,-67,-86,-77,-66,-75,-62,-56,-57,-64,1,0
75,-72,-68,-100,-78,-66,-76,-62,-57,-57,-66,1,0
76,-69,-68,-88,-78,-68,-77,-62,-57,-57,-68,1,0
77,-68,-68,-86,-77,-68,-77,-62,-57,-57,-69,1,0
78,-67,-69,-100,-76,-69,-76,-63,-57,-57,-69,1,0
79,-67,-69,-85,-76,-69,-76,-63,-57,-57,-69,1,0
